GrLivArea,SalePrice
64,4152433543
65,4148690219
66,4148543835
67,4148204586
68,4147858680
69,4147608142
70,4147593272
71,4146946516
72,4146490892
73,4146348856
74,4146317969
75,4146197035
76,4146147460
77,4144399667
78,4144404995
79,4144372178
80,4144305642
81,4144219104
82,4144169278
83,4144108231
84,4142942611
85,4141879503
86,4141756373
87,4141536785
88,4140193348
89,4139926966
90,4139826709
91,4139738577
92,4139317309
93,4120513018
94,4120085617
95,4119987801
96,4119806203
97,4119141686
98,4119100142
99,4118673044
0,4255954855
1,4255942732
2,4255868492
3,4255846128
4,4255792608
5,4255735085
6,4255616358
7,4255540798
8,4255379515
9,4255401862
10,4252916894
11,4252894682
12,4252840575
13,4252775171
14,4252750434
15,4252662874
16,4252594828
17,4252462986
18,4249430311
19,4248397701
20,4248049898
21,4248073303
22,4247947415
23,4248002331
24,4247441346
25,4247346627
26,4247382346
27,4247236629
28,4247217216
29,4247160308
30,4246939711
31,4244743719
32,4244742882
33,4244722484
34,4244243703
35,4244145140
36,4242111176
37,4241977641
38,4241914551
39,4241817859
40,4241761245
41,4241644260
42,4239554885
43,4239581433
44,4239491702
45,4239199539
46,4239105794
47,4239019541
48,4238961869
49,4238798613
50,4236452104
51,4236425113
52,4233178019
53,4233222221
54,4233105414
55,4232999015
56,4233011399
57,4232843469
58,4232833087
59,4230346513
60,4228637106
61,4228279942
62,4227530167
63,4227386495
64,4227265183
65,4227166964
66,4227058495
67,4225224893
68,4225149541
69,4225136570
70,4225171127
71,4224988597
72,4218502020
73,4218466693
74,4218420630
75,4218311762
76,4216075409
77,4216061140
78,4215971474
79,4215861925
80,4215773214
81,4215663649
82,4214032557
83,4213849892
84,4213821352
85,4213584428
86,4213413380
87,4209005606
88,4207121253
89,4207026677
90,4206979335
91,4188827621
92,4188699998
93,4183495921
94,4183404231
95,4183226653
96,4179234165
97,4179177215
98,4179035600
99,4176919644
0,4258849234
1,4258863620
2,4258840347
3,4258743348
4,4258549547
5,4258446212
6,4252707261
7,4249716387
8,4247333254
9,4247328744
10,4247263043
11,4247161499
12,4247052472
13,4237423337
14,4236259120
15,4236209362
16,4236142587
17,4235878601
18,4233113995
19,4232956091
20,4232889476
21,4232304535
22,4232129903
23,4232080526
24,4231598145
25,4231151563
26,4231100346
27,4230942397
28,4230915010
29,4228752344
30,4228637106
31,4227532963
32,4227530167
33,4227386495
34,4227351515
35,4227265183
36,4227225657
37,4227058495
38,4226087595
39,4225243022
40,4225149541
41,4225136570
42,4225161427
43,4225054326
44,4224937366
45,4224787553
46,4222919157
47,4222955290
48,4222901168
49,4222855115
50,4222763533
51,4222632382
52,4218502020
53,4218394521
54,4218311762
55,4218250379
56,4218098744
57,4217740790
58,4217472738
59,4217420625
60,4217209852
61,4216849791
62,4216789811
63,4216753503
64,4216573409
65,4216061140
66,4215971474
67,4215759559
68,4215648624
69,4215616407
70,4215431777
71,4215316652
72,4215313840
73,4214992975
74,4214822900
75,4214533325
76,4214510083
77,4214412694
78,4214305053
79,4213865508
80,4213518003
81,4213560056
82,4213413380
83,4213391908
84,4213255019
85,4213119323
86,4212983761
87,4212926342
88,4212844247
89,4212703586
90,4212469872
91,4212431681
92,4212005814
93,4212001906
94,4208873115
95,4208791424
96,4208538182
97,4208458110
98,4208294656
99,4208183709
0,4258756840
1,4258638739
2,4252530914
3,4249802117
4,4249668713
5,4249613706
6,4248397701
7,4247382346
